CMS Certification Number,Facility Name,City,State,System Affiliation,Type of Facility,Key
310008,Holy Name Medical Center,Teaneck,NJ,"Not In Any System - ,",Short Term Acute Care,310008_Holy Name Medical Center
310009,Clara Maass Medical Center,Belleville,NJ,"RWJBarnabas Health - West Orange, NJ",Short Term Acute Care,310009_Clara Maass Medical Center
310010,Princeton Medical Center,Plainsboro,NJ,"Penn Medicine - Philadelphia, PA",Short Term Acute Care,310010_Princeton Medical Center
310011,Cape Regional Medical Center,Cape May Court House,NJ,"Not In Any System - ,",Short Term Acute Care,310011_Cape Regional Medical Center
310012,The Valley Hospital,Ridgewood,NJ,"Valley Health System - Ridgewood, NJ",Short Term Acute Care,310012_The Valley Hospital
310014,Cooper University Hospital,Camden,NJ,"Not In Any System - ,",Short Term Acute Care,310014_Cooper University Hospital
310015,Morristown Medical Center,Morristown,NJ,"Atlantic Health System - Morristown, NJ",Short Term Acute Care,310015_Morristown Medical Center
310016,Christ Hospital,Jersey City,NJ,"CarePoint Health - Jersey City, NJ",Short Term Acute Care,310016_Christ Hospital
310017,Chilton Medical Center,Pompton Plains,NJ,"Atlantic Health System - Morristown, NJ",Short Term Acute Care,310017_Chilton Medical Center
310019,Saint Joseph's University Medical Center,Paterson,NJ,"Saint Joseph's Healthcare System - Paterson, NJ",Short Term Acute Care,310019_Saint Joseph's University Medical Center
31001F,VA New Jersey Healthcare System - East Orange Campus,East Orange,NJ,"Department of Veterans Affairs - Washington, DC",Short Term Acute Care,31001F_VA New Jersey Healthcare System - East Orange Campus
310021,Saint Francis Medical Center,Trenton,NJ,"Trinity Health - Livonia, MI",Short Term Acute Care,310021_Saint Francis Medical Center
310022,Virtua Voorhees Hospital,Voorhees,NJ,"Virtua Health - Marlton, NJ",Short Term Acute Care,310022_Virtua Voorhees Hospital
310024,Robert Wood Johnson University Hospital at Rahway,Rahway,NJ,"RWJBarnabas Health - West Orange, NJ",Short Term Acute Care,310024_Robert Wood Johnson University Hospital at Rahway
310025,Bayonne Medical Center,Bayonne,NJ,"CarePoint Health - Jersey City, NJ",Short Term Acute Care,310025_Bayonne Medical Center
310027,Trinitas Regional Medical Center,Elizabeth,NJ,"Not In Any System - ,",Short Term Acute Care,310027_Trinitas Regional Medical Center
310028,Newton Medical Center,Newton,NJ,"Atlantic Health System - Morristown, NJ",Short Term Acute Care,310028_Newton Medical Center
310029,Virtua Our Lady of Lourdes Hospital,Camden,NJ,"Virtua Health - Marlton, NJ",Short Term Acute Care,310029_Virtua Our Lady of Lourdes Hospital
310031,Deborah Heart and Lung Center,Browns Mills,NJ,"Not In Any System - ,",Short Term Acute Care,310031_Deborah Heart and Lung Center
310032,Inspira Medical Center Vineland,Vineland,NJ,"Inspira Health Network - Vineland, NJ",Short Term Acute Care,310032_Inspira Medical Center Vineland
310034,Riverview Medical Center,Red Bank,NJ,"Hackensack Meridian Health - Hackensack, NJ",Short Term Acute Care,310034_Riverview Medical Center
310038,Robert Wood Johnson University Hospital,New Brunswick,NJ,"RWJBarnabas Health - West Orange, NJ",Short Term Acute Care,310038_Robert Wood Johnson University Hospital
310039,Raritan Bay Medical Center - Perth Amboy Division,Perth Amboy,NJ,"Hackensack Meridian Health - Hackensack, NJ",Short Term Acute Care,310039_Raritan Bay Medical Center - Perth Amboy Division
310040,Hoboken University Medical Center,Hoboken,NJ,"CarePoint Health - Jersey City, NJ",Short Term Acute Care,310040_Hoboken University Medical Center
310041,Community Medical Center,Toms River,NJ,"RWJBarnabas Health - West Orange, NJ",Short Term Acute Care,310041_Community Medical Center
310044,Capital Health Medical Center - Hopewell,Pennington,NJ,"Capital Health System - Trenton, NJ",Short Term Acute Care,310044_Capital Health Medical Center - Hopewell
310045,Englewood Hospital and Medical Center,Englewood,NJ,"Not In Any System - ,",Short Term Acute Care,310045_Englewood Hospital and Medical Center
310047,Shore Medical Center,Somers Point,NJ,"Not In Any System - ,",Short Term Acute Care,310047_Shore Medical Center
310048,Robert Wood Johnson University Hospital Somerset,Somerville,NJ,"RWJBarnabas Health - West Orange, NJ",Short Term Acute Care,310048_Robert Wood Johnson University Hospital Somerset
310050,Saint Clare's Denville Hospital,Denville,NJ,"Prime Healthcare Services, Inc. - Ontario, CA",Short Term Acute Care,310050_Saint Clare's Denville Hospital
310051,Overlook Medical Center,Summit,NJ,"Atlantic Health System - Morristown, NJ",Short Term Acute Care,310051_Overlook Medical Center
310052,Ocean University Medical Center,Brick,NJ,"Hackensack Meridian Health - Hackensack, NJ",Short Term Acute Care,310052_Ocean University Medical Center
310054,Hackensack Meridian Health Mountainside Medical Center,Montclair,NJ,"Not In Any System - ,",Short Term Acute Care,310054_Hackensack Meridian Health Mountainside Medical Center
310057,Virtua Memorial Hospital,Mount Holly,NJ,"Virtua Health - Marlton, NJ",Short Term Acute Care,310057_Virtua Memorial Hospital
310058,Bergen New Bridge Medical Center,Paramus,NJ,"Not In Any System - ,",Short Term Acute Care,310058_Bergen New Bridge Medical Center
310060,Saint Luke's Warren Campus,Phillipsburg,NJ,"Saint Luke's University Health Network - Bethlehem, PA",Short Term Acute Care,310060_Saint Luke's Warren Campus
310061,Virtua Willingboro Hospital,Willingboro,NJ,"Virtua Health - Marlton, NJ",Short Term Acute Care,310061_Virtua Willingboro Hospital
310064,AtlantiCare Regional Medical Center-Atlantic City Campus,Atlantic City,NJ,"Geisinger - Danville, PA",Short Term Acute Care,310064_AtlantiCare Regional Medical Center-Atlantic City Campus
310067,Saint Clare's Hospital - Dover,Dover,NJ,"Prime Healthcare Services, Inc. - Ontario, CA",Short Term Acute Care,310067_Saint Clare's Hospital - Dover
310069,Inspira Medical Center Elmer,Elmer,NJ,"Inspira Health Network - Vineland, NJ",Short Term Acute Care,310069_Inspira Medical Center Elmer
310070,Saint Peter's University Hospital,New Brunswick,NJ,"Not In Any System - ,",Short Term Acute Care,310070_Saint Peter's University Hospital
310073,Jersey Shore University Medical Center,Neptune,NJ,"Hackensack Meridian Health - Hackensack, NJ",Short Term Acute Care,310073_Jersey Shore University Medical Center
310074,Jersey City Medical Center,Jersey City,NJ,"RWJBarnabas Health - West Orange, NJ",Short Term Acute Care,310074_Jersey City Medical Center
310075,Monmouth Medical Center,Long Branch,NJ,"RWJBarnabas Health - West Orange, NJ",Short Term Acute Care,310075_Monmouth Medical Center
310076,Cooperman Barnabas Medical Center,Livingston,NJ,"RWJBarnabas Health - West Orange, NJ",Short Term Acute Care,310076_Cooperman Barnabas Medical Center
310081,Inspira Medical Center Woodbury,Woodbury,NJ,"Inspira Health Network - Vineland, NJ",Short Term Acute Care,310081_Inspira Medical Center Woodbury
310083,East Orange General Hospital,East Orange,NJ,"Prospect Medical Holdings - Los Angeles, CA",Short Term Acute Care,310083_East Orange General Hospital
310084,Monmouth Medical Center Southern Campus,Lakewood,NJ,"RWJBarnabas Health - West Orange, NJ",Short Term Acute Care,310084_Monmouth Medical Center Southern Campus
310086,Jefferson Cherry Hill Hospital,Cherry Hill,NJ,"Jefferson Health - Philadelphia, PA",Short Term Acute Care,310086_Jefferson Cherry Hill Hospital
310091,Salem Medical Center,Salem,NJ,"Not In Any System - ,",Short Term Acute Care,310091_Salem Medical Center
310092,Capital Health Regional Medical Center,Trenton,NJ,"Capital Health System - Trenton, NJ",Short Term Acute Care,310092_Capital Health Regional Medical Center
310096,Saint Michael's Medical Center,Newark,NJ,"Prime Healthcare Services, Inc. - Ontario, CA",Short Term Acute Care,310096_Saint Michael's Medical Center
310108,Hackensack Meridian Health JFK Medical Center,Edison,NJ,"Hackensack Meridian Health - Hackensack, NJ",Short Term Acute Care,310108_Hackensack Meridian Health JFK Medical Center
310110,RWJ University Hospital Hamilton,Hamilton,NJ,"RWJBarnabas Health - West Orange, NJ",Short Term Acute Care,310110_RWJ University Hospital Hamilton
310111,CentraState Medical Center,Freehold,NJ,"Not In Any System - ,",Short Term Acute Care,310111_CentraState Medical Center
310112,Bayshore Medical Center,Holmdel,NJ,"Hackensack Meridian Health - Hackensack, NJ",Short Term Acute Care,310112_Bayshore Medical Center
310113,Hackensack Meridian Southern Ocean Medical Center,Manahawkin,NJ,"Hackensack Meridian Health - Hackensack, NJ",Short Term Acute Care,310113_Hackensack Meridian Southern Ocean Medical Center
310115,Hackettstown Medical Center,Hackettstown,NJ,"Atlantic Health System - Morristown, NJ",Short Term Acute Care,310115_Hackettstown Medical Center
310116,Saint Joseph's Wayne Medical Center,Wayne,NJ,"Saint Joseph's Healthcare System - Paterson, NJ",Short Term Acute Care,310116_Saint Joseph's Wayne Medical Center
310118,Hudson Regional Hospital,Secaucus,NJ,"Not In Any System - ,",Short Term Acute Care,310118_Hudson Regional Hospital
310119,The University Hospital,Newark,NJ,"Not In Any System - ,",Short Term Acute Care,310119_The University Hospital
310130,Hackensack Meridian Health Pascack Valley Medical Center,Westwood,NJ,"Not In Any System - ,",Short Term Acute Care,310130_Hackensack Meridian Health Pascack Valley Medical Center
312014,Matheny Hospital,Peapack,NJ,"Not In Any System - ,",Long Term,312014_Matheny Hospital
312017,Specialty Hospital of Central Jersey,Lakewood,NJ,"Not In Any System - ,",Long Term,312017_Specialty Hospital of Central Jersey
312018,LTACH - CareOne at Saint Peter's University Hospital,New Brunswick,NJ,"CareOne - Fort Lee, NJ",Long Term,312018_LTACH - CareOne at Saint Peter's University Hospital
312019,Select Specialty Hospital - Northeast New Jersey,Rochelle Park,NJ,"Select Medical Corporation - Mechanicsburg, PA",Long Term,312019_Select Specialty Hospital - Northeast New Jersey
312020,Kindred Hospital New Jersey - Morris County,Dover,NJ,"Kindred Healthcare - Louisville, KY",Long Term,312020_Kindred Hospital New Jersey - Morris County
312022,Acuity Specialty Hospital of Southern New Jersey,Willingboro,NJ,"AcuityHealthcare - Charlotte, NC",Long Term,312022_Acuity Specialty Hospital of Southern New Jersey
312023,Acuity Specialty Hospital of New Jersey - Atlantic City,Atlantic City,NJ,"AcuityHealthcare - Charlotte, NC",Long Term,312023_Acuity Specialty Hospital of New Jersey - Atlantic City
312024,Columbus Hospital LTACH,Newark,NJ,"Not In Any System - ,",Long Term,312024_Columbus Hospital LTACH
313025,Kessler Institute for Rehabilitation - West Orange,West Orange,NJ,"Select Medical Corporation - Mechanicsburg, PA",Rehabilitation,313025_Kessler Institute for Rehabilitation - West Orange
313027,Saint Lawrence Rehabilitation Center,Lawrenceville,NJ,"Not In Any System - ,",Rehabilitation,313027_Saint Lawrence Rehabilitation Center
313029,Encompass Health Rehabilitation Hospital Toms River,Toms River,NJ,"Encompass Health - Birmingham, AL",Rehabilitation,313029_Encompass Health Rehabilitation Hospital Toms River
313030,Bacharach Institute for Rehabilitation,Pomona,NJ,"Not In Any System - ,",Rehabilitation,313030_Bacharach Institute for Rehabilitation
313032,Kessler Institute for Rehabilitation - Marlton,Marlton,NJ,"Select Medical Corporation - Mechanicsburg, PA",Rehabilitation,313032_Kessler Institute for Rehabilitation - Marlton
313033,Shore Rehabilitation Institute,Brick,NJ,"Not In Any System - ,",Rehabilitation,313033_Shore Rehabilitation Institute
313035,Encompass Health  Rehabilitation Hospital of Tinton Falls,Tinton Falls,NJ,"Not In Any System - ,",Rehabilitation,313035_Encompass Health  Rehabilitation Hospital of Tinton Falls
313036,Encompass Health Rehabilitation Hospital of Vineland,Vineland,NJ,"Encompass Health - Birmingham, AL",Rehabilitation,313036_Encompass Health Rehabilitation Hospital of Vineland
313037,CarePoint Health Transitional Care Center at Hoboken University Medical Center,Hoboken,NJ,"CarePoint Health - Jersey City, NJ",Rehabilitation,313037_CarePoint Health Transitional Care Center at Hoboken University Medical Center
313038,Atlantic Rehabilitation Institute,Madison,NJ,"Atlantic Health System - Morristown, NJ",Rehabilitation,313038_Atlantic Rehabilitation Institute
313300,Children's Specialized Hospital,Mountainside,NJ,"RWJBarnabas Health - West Orange, NJ",Childrens,313300_Children's Specialized Hospital
313302,Weisman Children's Rehabilitation Hospital,Marlton,NJ,"Not In Any System - ,",Childrens,313302_Weisman Children's Rehabilitation Hospital
314001,Summit Oaks Hospital,Summit,NJ,"Universal Health Services, Inc. - King of Prussia, PA",Psychiatric,314001_Summit Oaks Hospital
314005,Ancora Psychiatric Hospital,Ancora,NJ,"NJ Health - Trenton, NJ",Psychiatric,314005_Ancora Psychiatric Hospital
314011,Rutgers University Behavioral Healthcare,Piscataway,NJ,"Not In Any System - ,",Psychiatric,314011_Rutgers University Behavioral Healthcare
314012,Hackensack Meridian Health Carrier Clinic,Belle Mead,NJ,"Hackensack Meridian Health - Hackensack, NJ",Psychiatric,314012_Hackensack Meridian Health Carrier Clinic
314013,Trenton Psychiatric Hospital,West Trenton,NJ,"NJ Health - Trenton, NJ",Psychiatric,314013_Trenton Psychiatric Hospital
314016,Greystone Park Psychiatric Hospital,Morris Plains,NJ,"NJ Health - Trenton, NJ",Psychiatric,314016_Greystone Park Psychiatric Hospital
314018,Northbrook Behavioral Health Hospital,Blackwood,NJ,"Ocean Healthcare - Lakewood, NJ",Psychiatric,314018_Northbrook Behavioral Health Hospital
314019,Christian Health Care Center,Wyckoff,NJ,"Not In Any System - ,",Psychiatric,314019_Christian Health Care Center
314020,Essex County Hospital Center,Cedar Grove,NJ,"Not In Any System - ,",Psychiatric,314020_Essex County Hospital Center
314021,Hampton Hospital,Westampton Township,NJ,"Universal Health Services, Inc. - King of Prussia, PA",Psychiatric,314021_Hampton Hospital
314022,RWJBarnabas Health Behavioral Health Center,Toms River,NJ,"RWJBarnabas Health - West Orange, NJ",Psychiatric,314022_RWJBarnabas Health Behavioral Health Center
314023,Buttonwood Behavioral Health Hospital,Pemberton,NJ,"Ocean Healthcare - Lakewood, NJ",Psychiatric,314023_Buttonwood Behavioral Health Hospital
314024,Hudson County Meadowview Psychiatric Hospital,Secaucus,NJ,"Not In Any System - ,",Psychiatric,314024_Hudson County Meadowview Psychiatric Hospital
314025,Ann Klein Forensic Center,West Trenton,NJ,"NJ Health - Trenton, NJ",Psychiatric,314025_Ann Klein Forensic Center
314027,Runnells Center for Rehab and Healthcare,Berkeley Heights,NJ,"Not In Any System - ,",Psychiatric,314027_Runnells Center for Rehab and Healthcare
320001,UNM Hospital,Albuquerque,NM,"University of New Mexico Hospitals - Albuquerque, NM",Short Term Acute Care,320001_UNM Hospital
320002,CHRISTUS Saint Vincent Regional Medical Center,Santa Fe,NM,"CHRISTUS Health - Irving, TX",Short Term Acute Care,320002_CHRISTUS Saint Vincent Regional Medical Center
320003,Alta Vista Regional Hospital,Las Vegas,NM,"Quorum Health - Brentwood, TN",Short Term Acute Care,320003_Alta Vista Regional Hospital
320004,Gerald Champion Regional Medical Center,Alamogordo,NM,"Not In Any System - ,",Short Term Acute Care,320004_Gerald Champion Regional Medical Center
320005,San Juan Regional Medical Center,Farmington,NM,"San Juan Regional Medical Center Network - Farmington, NM",Short Term Acute Care,320005_San Juan Regional Medical Center
320006,Eastern New Mexico Medical Center,Roswell,NM,"Community Health Systems, Inc. (CHS) - Franklin, TN",Short Term Acute Care,320006_Eastern New Mexico Medical Center
320009,Lovelace Medical Center,Albuquerque,NM,"Ardent Health Services - Nashville, TN",Short Term Acute Care,320009_Lovelace Medical Center
320011,Presbyterian Espanola Hospital,Espanola,NM,"Presbyterian Healthcare Services - Albuquerque, NM",Short Term Acute Care,320011_Presbyterian Espanola Hospital
320017,Lovelace Women's Hospital,Albuquerque,NM,"Ardent Health Services - Nashville, TN",Short Term Acute Care,320017_Lovelace Women's Hospital
320018,Memorial Medical Center,Las Cruces,NM,"LifePoint Health - Brentwood, TN",Short Term Acute Care,320018_Memorial Medical Center
320021,Presbyterian Hospital,Albuquerque,NM,"Presbyterian Healthcare Services - Albuquerque, NM",Short Term Acute Care,320021_Presbyterian Hospital
320022,Plains Regional Medical Center,Clovis,NM,"Presbyterian Healthcare Services - Albuquerque, NM",Short Term Acute Care,320022_Plains Regional Medical Center
320030,Artesia General Hospital,Artesia,NM,"Not In Any System - ,",Short Term Acute Care,320030_Artesia General Hospital
320033,Los Alamos Medical Center,Los Alamos,NM,"LifePoint Health - Brentwood, TN",Short Term Acute Care,320033_Los Alamos Medical Center
320038,Rehoboth McKinley Christian Health Care Services Hospital,Gallup,NM,"Not In Any System - ,",Short Term Acute Care,320038_Rehoboth McKinley Christian Health Care Services Hospital
320057,Santa Fe Indian Hospital,Santa Fe,NM,"Indian Health Service - Rockville, MD",Short Term Acute Care,320057_Santa Fe Indian Hospital
320058,Mescalero Hospital,Mescalero,NM,"Indian Health Service - Rockville, MD",Short Term Acute Care,320058_Mescalero Hospital
320059,The Northern Navajo Medical Center,Shiprock,NM,"Indian Health Service - Rockville, MD",Short Term Acute Care,320059_The Northern Navajo Medical Center
320060,Zuni Comprehensive Health Center,Zuni,NM,"Indian Health Service - Rockville, MD",Short Term Acute Care,320060_Zuni Comprehensive Health Center
320061,Gallup Indian Medical Center,Gallup,NM,"Indian Health Service - Rockville, MD",Short Term Acute Care,320061_Gallup Indian Medical Center
320062,Crownpoint Health Care Facility,Crownpoint,NM,"Indian Health Service - Rockville, MD",Short Term Acute Care,320062_Crownpoint Health Care Facility
320063,Carlsbad Medical Center,Carlsbad,NM,"Community Health Systems, Inc. (CHS) - Franklin, TN",Short Term Acute Care,320063_Carlsbad Medical Center
320065,Hobbs Hospital,Hobbs,NM,"Covenant Health - Knoxville, TN",Short Term Acute Care,320065_Hobbs Hospital
320067,Guadalupe County Hospital,Santa Rosa,NM,"Not In Any System - ,",Short Term Acute Care,320067_Guadalupe County Hospital
320074,Lovelace Westside Hospital,Albuquerque,NM,"Ardent Health Services - Nashville, TN",Short Term Acute Care,320074_Lovelace Westside Hospital
320079,Presbyterian Kaseman Hospital,Albuquerque,NM,"Presbyterian Healthcare Services - Albuquerque, NM",Short Term Acute Care,320079_Presbyterian Kaseman Hospital
320083,The Heart Hospital of New Mexico at Lovelace Medical Center,Albuquerque,NM,"Ardent Health Services - Nashville, TN",Short Term Acute Care,320083_The Heart Hospital of New Mexico at Lovelace Medical Center
320084,Roosevelt General Hospital,Portales,NM,"Not In Any System - ,",Short Term Acute Care,320084_Roosevelt General Hospital
320085,MountainView Regional Medical Center,Las Cruces,NM,"Community Health Systems, Inc. (CHS) - Franklin, TN",Short Term Acute Care,320085_MountainView Regional Medical Center
320086,Lovelace Regional Hospital,Roswell,NM,"Ardent Health Services - Nashville, TN",Short Term Acute Care,320086_Lovelace Regional Hospital
320087,CHRISTUS St. Vincent Orthopaedics & Sports Institute (Surgery Center),Santa Fe,NM,"CHRISTUS Health - Irving, TX",Short Term Acute Care,320087_CHRISTUS St. Vincent Orthopaedics & Sports Institute (Surgery Center)
320089,UNM Sandoval Regional Medical Center,Rio Rancho,NM,"University of New Mexico Hospitals - Albuquerque, NM",Short Term Acute Care,320089_UNM Sandoval Regional Medical Center
320090,Presbyterian Santa Fe Medical Center,Santa Fe,NM,"Presbyterian Healthcare Services - Albuquerque, NM",Short Term Acute Care,320090_Presbyterian Santa Fe Medical Center
320091,Three Crosses Regional Hospital,Las Cruces,NM,"Not In Any System - ,",Short Term Acute Care,320091_Three Crosses Regional Hospital
321300,Sierra Vista Hospital,Truth or Consequences,NM,"Not In Any System - ,",Critical Access,321300_Sierra Vista Hospital
321301,Socorro General Hospital,Socorro,NM,"Presbyterian Healthcare Services - Albuquerque, NM",Critical Access,321301_Socorro General Hospital
321302,Doctor Dan C. Trigg Memorial Hospital,Tucumcari,NM,"Presbyterian Healthcare Services - Albuquerque, NM",Critical Access,321302_Doctor Dan C. Trigg Memorial Hospital
321304,Union County General Hospital,Clayton,NM,"Not In Any System - ,",Critical Access,321304_Union County General Hospital
321305,Nor-Lea Hospital District,Lovington,NM,"Not In Any System - ,",Critical Access,321305_Nor-Lea Hospital District
321306,Lincoln County Medical Center,Ruidoso,NM,"Presbyterian Healthcare Services - Albuquerque, NM",Critical Access,321306_Lincoln County Medical Center
321307,Miners' Colfax Medical Center,Raton,NM,"Not In Any System - ,",Critical Access,321307_Miners' Colfax Medical Center
321308,Cibola General Hospital,Grants,NM,"Not In Any System - ,",Critical Access,321308_Cibola General Hospital
321309,Mimbres Memorial Hospital,Deming,NM,"Quorum Health - Brentwood, TN",Critical Access,321309_Mimbres Memorial Hospital
321310,Holy Cross Medical Center,Taos,NM,"Not In Any System - ,",Critical Access,321310_Holy Cross Medical Center
321311,Gila Regional Medical Center,Silver City,NM,"Not In Any System - ,",Critical Access,321311_Gila Regional Medical Center
322002,Kindred Hospital - Albuquerque,Albuquerque,NM,"Kindred Healthcare - Louisville, KY",Long Term,322002_Kindred Hospital - Albuquerque
322003,AMG Specialty Hospital Albuquerque,Albuquerque,NM,"AMG Integrated Healthcare Management - Lafayette, LA",Long Term,322003_AMG Specialty Hospital Albuquerque
322004,Advanced Care Hospital of Southern New Mexico,Las Cruces,NM,"Ernest Health, Inc. - Albuquerque, NM",Long Term,322004_Advanced Care Hospital of Southern New Mexico
323026,New Mexico Rehabilitation Center,Roswell,NM,"New Mexico Department of Health - Santa Fe, NM",Rehabilitation,323026_New Mexico Rehabilitation Center
323027,Encompass Health Rehabilitation Hospital of Albuquerque,Albuquerque,NM,"Encompass Health - Birmingham, AL",Rehabilitation,323027_Encompass Health Rehabilitation Hospital of Albuquerque
323028,Lovelace Rehabilitation Hospital,Albuquerque,NM,"Ardent Health Services - Nashville, TN",Rehabilitation,323028_Lovelace Rehabilitation Hospital
323029,San Juan Regional Rehabilitation Hospital,Farmington,NM,"San Juan Regional Medical Center Network - Farmington, NM",Rehabilitation,323029_San Juan Regional Rehabilitation Hospital
323032,Rehabilitation Hospital of Southern New Mexico,Las Cruces,NM,"Ernest Health, Inc. - Albuquerque, NM",Rehabilitation,323032_Rehabilitation Hospital of Southern New Mexico
323033,ClearSky Rehabilitation Hospital of Rio Rancho,Rio Rancho,NM,"ClearSky Health - Austin, TX",Rehabilitation,323033_ClearSky Rehabilitation Hospital of Rio Rancho
323307,UNM Children's Hospital,Albuquerque,NM,"University of New Mexico Hospitals - Albuquerque, NM",Childrens,323307_UNM Children's Hospital
324010,Mesilla Valley Hospital,Las Cruces,NM,"Universal Health Services, Inc. - King of Prussia, PA",Psychiatric,324010_Mesilla Valley Hospital
324012,Peak Behavioral Health Services,Santa Teresa,NM,"Strategic Behavioral Health, LLC - Memphis, TN",Psychiatric,324012_Peak Behavioral Health Services
324013,Haven Behavioral Hospital of Albuquerque,Albuquerque,NM,"Haven Behavioral Healthcare, Inc. - Nashville, TN",Psychiatric,324013_Haven Behavioral Hospital of Albuquerque
324014,Central Desert Behavioral Health Hospital,Albuquerque,NM,"Not In Any System - ,",Psychiatric,324014_Central Desert Behavioral Health Hospital
324611,New Mexico Behavioral Health Institute,Las Vegas,NM,"New Mexico Department of Health - Santa Fe, NM",Psychiatric,324611_New Mexico Behavioral Health Institute
330003,Samaritan Hospital-Albany Memorial Campus,Albany,NY,"Trinity Health - Livonia, MI",Short Term Acute Care,330003_Samaritan Hospital-Albany Memorial Campus
330004,HealthAlliance Hospital - Broadway Campus,Kingston,NY,"Westchester Medical Center Health Network - Valhalla, NY",Short Term Acute Care,330004_HealthAlliance Hospital - Broadway Campus
330005,Buffalo General Medical Center,Buffalo,NY,"Kaleida Health - Buffalo, NY",Short Term Acute Care,330005_Buffalo General Medical Center
330006,Saint Joseph's Medical Center,Yonkers,NY,"Saint Joseph's Medical Center - Yonkers, NY",Short Term Acute Care,330006_Saint Joseph's Medical Center
330008,Wyoming County Community Health System,Warsaw,NY,"Not In Any System - ,",Short Term Acute Care,330008_Wyoming County Community Health System
330009,"BronxCare Dr. Martin Luther King, Jr. Health Center",Bronx,NY,"BronxCare Heath Care System - Bronx, NY",Short Term Acute Care,"330009_BronxCare Dr. Martin Luther King, Jr. Health Center"
330011,Our Lady of Lourdes Memorial Hospital,Binghamton,NY,"Ascension Health - Saint Louis, MO",Short Term Acute Care,330011_Our Lady of Lourdes Memorial Hospital
330013,Albany Medical Center,Albany,NY,"Not In Any System - ,",Short Term Acute Care,330013_Albany Medical Center
330014,Jamaica Hospital Medical Center,Jamaica,NY,"Not In Any System - ,",Short Term Acute Care,330014_Jamaica Hospital Medical Center
330019,New York Community Hospital,Brooklyn,NY,"New York-Presbyterian Healthcare System - New York, NY",Short Term Acute Care,330019_New York Community Hospital
330023,Vassar Brothers Medical Center,Poughkeepsie,NY,"Nuvance Health - Danbury, CT",Short Term Acute Care,330023_Vassar Brothers Medical Center
330024,The Mount Sinai Hospital,New York,NY,"Mount Sinai Health System - New York, NY",Short Term Acute Care,330024_The Mount Sinai Hospital
330027,Nassau University Medical Center,East Meadow,NY,"Not In Any System - ,",Short Term Acute Care,330027_Nassau University Medical Center
330028,Richmond University Medical Center,Staten Island,NY,"Not In Any System - ,",Short Term Acute Care,330028_Richmond University Medical Center
330030,Newark-Wayne Community Hospital,Newark,NY,"Rochester Regional Health System - Rochester, NY",Short Term Acute Care,330030_Newark-Wayne Community Hospital
330033,UHS Chenango Memorial Hospital,Norwich,NY,"United Health Services - Binghamton, NY",Short Term Acute Care,330033_UHS Chenango Memorial Hospital
330036,Saint John's Riverside Hospital - Dobbs Ferry Pavilion,Dobbs Ferry,NY,"St. John's Riverside Hospital - Westchester, NY",Short Term Acute Care,330036_Saint John's Riverside Hospital - Dobbs Ferry Pavilion
330043,South Shore University Hospital,Bay Shore,NY,"Northwell Health - Great Neck, NY",Short Term Acute Care,330043_South Shore University Hospital
330044,MVHS -  St. Luke's Campus,Utica,NY,"Mohawk Valley Health System - New Hartford, NY",Short Term Acute Care,330044_MVHS -  St. Luke's Campus
330045,Huntington Hospital,Huntington,NY,"Northwell Health - Great Neck, NY",Short Term Acute Care,330045_Huntington Hospital
330046,Mount Sinai Morningside,New York,NY,"Mount Sinai Health System - New York, NY",Short Term Acute Care,330046_Mount Sinai Morningside
330047,Saint Mary's Hospital at Amsterdam,Amsterdam,NY,"Not In Any System - ,",Short Term Acute Care,330047_Saint Mary's Hospital at Amsterdam
330049,Northern Dutchess Hospital,Rhinebeck,NY,"Nuvance Health - Danbury, CT",Short Term Acute Care,330049_Northern Dutchess Hospital
330055,NewYork-Presbyterian  Queens Hospital,Flushing,NY,"New York-Presbyterian Healthcare System - New York, NY",Short Term Acute Care,330055_NewYork-Presbyterian  Queens Hospital
330056,The Brooklyn Hospital Center,Brooklyn,NY,"Not In Any System - ,",Short Term Acute Care,330056_The Brooklyn Hospital Center
330057,Saint Peter's Hospital,Albany,NY,"Trinity Health - Livonia, MI",Short Term Acute Care,330057_Saint Peter's Hospital
330058,Geneva General Hospital,Geneva,NY,"Finger Lakes Health - Geneva, NY",Short Term Acute Care,330058_Geneva General Hospital
330059,Montefiore Hospital- Moses Campus,Bronx,NY,"Montefiore Health System - Bronx, NY",Short Term Acute Care,330059_Montefiore Hospital- Moses Campus
330061,NewYork-Presbyterian Lawrence Hospital,Bronxville,NY,"New York-Presbyterian Healthcare System - New York, NY",Short Term Acute Care,330061_NewYork-Presbyterian Lawrence Hospital
330064,"NewYork-Presbyterian, Lower Manhattan Hospital",New York,NY,"New York-Presbyterian Healthcare System - New York, NY",Short Term Acute Care,"330064_NewYork-Presbyterian, Lower Manhattan Hospital"
330065,Niagara Falls Memorial Medical Center,Niagara Falls,NY,"Not In Any System - ,",Short Term Acute Care,330065_Niagara Falls Memorial Medical Center
330067,Midhudson Regional Hospital of Westchester Medical Center,Poughkeepsie,NY,"Westchester Medical Center Health Network - Valhalla, NY",Short Term Acute Care,330067_Midhudson Regional Hospital of Westchester Medical Center
330072,Montefiore Wakefield Campus,Bronx,NY,"Montefiore Health System - Bronx, NY",Short Term Acute Care,330072_Montefiore Wakefield Campus
330073,United Memorial Medical Center,Batavia,NY,"Rochester Regional Health System - Rochester, NY",Short Term Acute Care,330073_United Memorial Medical Center
